mse,date
0.5032826288790098,1557446400.0
0.31312460203804504,1557447300.0
0.21849004688112944,1557448200.0
0.2543850092511799,1557449100.0
0.3474448711457694,1557450000.0
0.290892326808129,1557450900.0
0.35450292272789286,1557451800.0
0.3138284596800209,1557452700.0
0.22804605484940443,1557453600.0
0.3107119946359687,1557454500.0
0.24515380480426388,1557455400.0
0.2288832791918454,1557456300.0
0.33964854812235784,1557457200.0
0.2958628043014278,1557458100.0
0.27169500702367977,1557459000.0
0.3465529155101173,1557459900.0
0.39686914099715104,1557460800.0
0.25073967133404773,1557461700.0
0.310268374754201,1557462600.0
0.3390168399180292,1557463500.0
0.33687353222492256,1557464400.0
0.3142587079499143,1557465300.0
0.3538715092649307,1557466200.0
0.3752370508594397,1557467100.0
0.343410464953664,1557468000.0
0.3286449479284666,1557468900.0
0.3273333033089946,1557469800.0
0.2981598431606807,1557470700.0
0.3362831517825612,1557471600.0
0.34797307507262704,1557472500.0
0.42532341011764874,1557473400.0
0.33543462377921107,1557474300.0
0.36867799608188423,1557475200.0
0.29246517336677047,1557476100.0
0.28213227097399096,1557477000.0
0.3493592656593373,1557477900.0
0.3022757989619209,1557478800.0
0.3029662242070727,1557479700.0
0.3804813131260116,1557480600.0
0.3246970048546797,1557481500.0
0.3806571723041838,1557482400.0
0.41217918349227267,1557483300.0
0.2993715307775207,1557484200.0
0.33747833029257845,1557485100.0
0.30525529233986776,1557486000.0
0.32223893718093705,1557486900.0
0.2930528635918397,1557487800.0
0.3672631763081591,1557488700.0
0.41645748294709656,1557489600.0
0.2365750242757403,1557490500.0
0.27675992243028064,1557491400.0
0.2938306276594716,1557492300.0
0.32693119871169246,1557493200.0
0.26884251243318735,1557494100.0
0.2845699250022497,1557495000.0
0.3599539509243695,1557495900.0
0.24657943291854378,1557496800.0
0.3102530803194794,1557497700.0
0.31607429417797633,1557498600.0
0.293999124741106,1557499500.0
0.31788202407490845,1557500400.0
0.31924994336945756,1557501300.0
0.31633663857603295,1557502200.0
0.2981841981707671,1557503100.0
0.33380714161124925,1557504000.0
0.3211480761218394,1557504900.0
0.23872284785535,1557505800.0
0.3117564000923927,1557506700.0
0.37132986331188944,1557507600.0
0.3092051752030852,1557508500.0
0.29042544275375176,1557509400.0
0.2643371126062607,1557510300.0
0.2889361433664443,1557511200.0
0.2959572635130688,1557512100.0
0.2922967784741339,1557513000.0
0.28368721573244804,1557513900.0
0.3423991039564754,1557514800.0
0.2906934057651602,1557515700.0
0.25417282994616835,1557516600.0
0.26267910990342347,1557517500.0
0.2662412896930987,1557518400.0
0.23685512178773932,1557519300.0
0.17901926281063518,1557520200.0
0.3634344758986719,1557521100.0
0.2808029004941361,1557522000.0
