arsnr,mse,date,class
10.0510662,0.366698727,1558354500,0
7.553385773,0.621303719,1558356300,0
0.21798444,0.95235279,1558357200,0
8.771015254,0.531563979,1558358100,0
8.74428032,0.545588941,1558359000,0
9.089532136,0.489806465,1558359900,0
7.976851225,0.618015126,1558360800,0
6.593369893,0.728730106,1558361700,0
9.498383834,0.443057458,1558362600,0
9.105700342,0.497373706,1558363500,0
9.332679871,0.489012247,1558364400,0
9.162691208,0.478118891,1558365300,0
8.858189342,0.533887885,1558366200,0
8.412814889,0.59389831,1558367100,0
9.051665432,0.512213254,1558368000,0
8.668628849,0.547127714,1558368900,0
9.35587134,0.480592012,1558369800,0
9.539848997,0.449332111,1558370700,0
8.865846416,0.526924765,1558371600,0
8.92742284,0.52471691,1558372500,0
9.696215874,0.422850804,1558373400,0
8.989237974,0.501622145,1558374300,0
9.4210507,0.469233691,1558375200,0
8.83597382,0.528873881,1558376100,0
9.142886468,0.497401837,1558377000,0
9.832384861,0.415735984,1558377900,0
9.784038706,0.417336638,1558378800,0
10.19384649,0.36628442,1558379700,0
9.846778954,0.418142219,1558380600,0
10.04630413,0.380570964,1558381500,0
9.733782128,0.425417458,1558382400,0
10.37699718,0.32951753,1558383300,0
9.44735676,0.441890543,1558384200,0
10.7129063,0.273909219,1558385100,0
10.27858782,0.327273531,1558386000,0
10.48265474,0.297005577,1558386900,0
10.11046951,0.355849496,1558387800,0
10.84816066,0.237123407,1558388700,0
10.29401081,0.370358657,1558397700,0
11.24388199,0.167471243,1558398600,0
10.76753222,0.26547455,1558399500,0
10.57804968,0.294983221,1558400400,0
10.59991141,0.280046389,1558401300,0
11.13321475,0.200722898,1558402200,0
11.000336,0.216903796,1558403100,0
10.20484865,0.363403503,1558404000,0
10.45644269,0.327036865,1558404900,0
9.321358693,0.468518186,1558405800,0
10.35747615,0.31689258,1558406700,0
9.994873635,0.376103998,1558407600,0
9.575528091,0.43315744,1558408500,0
9.707419091,0.418387865,1558409400,0
9.915728169,0.401708169,1558410300,0
8.300919282,0.581853354,1558411200,0
8.983058756,0.517269157,1558412100,0
8.781594644,0.525941168,1558413000,0
8.257783014,0.584269715,1558413900,0
9.117345994,0.511014258,1558414800,0
8.040283849,0.61888279,1558415700,0
8.807391761,0.543655611,1558416600,0
8.735623898,0.533656527,1558417500,0
8.408059083,0.579876454,1558418400,0
8.748321431,0.53337054,1558419300,0
8.473929843,0.569585993,1558420200,0
9.959434078,0.384069659,1558421100,0
9.439680148,0.475265724,1558422000,0
5.909284282,0.773624235,1558422900,0
0.25359314,0.945608527,1558423800,0
0.24309292,0.951639903,1558424700,0
0.217862373,0.952558861,1558425600,0
0.174389296,0.960919697,1558426500,0
0.18959138,0.95800165,1558427400,0
0.271884572,0.941835796,1558428300,0
0.235293035,0.948424362,1558429200,0
0.240622706,0.947524358,1558430100,0
0.198451972,0.955830669,1558431000,0
0.197693486,0.956196358,1558431900,0
0.231917,0.948861122,1558432800,0
0.273253009,0.941912224,1558433700,0
0.223565271,0.952364247,1558434600,0
0.249871608,0.946717417,1558435500,0
0.220992392,0.951633471,1558436400,0
0.262896459,0.942467187,1558437300,0
0.256258016,0.946311205,1558438200,0
0.248744389,0.946612214,1558439100,0
0.185853442,0.958714011,1558440000,0
0.239139326,0.947613802,1558440900,0
0.236580885,0.949130695,1558441800,0
0.205826312,0.954597336,1558442700,0
0.22110121,0.951398963,1558443600,0
0.233662124,0.949401618,1558444500,0
0.205419131,0.955056229,1558445400,0
0.244239729,0.94726208,1558446300,0
0.223199206,0.951760653,1558447200,0
0.227931787,0.949703882,1558448100,0
0.227679572,0.950271979,1558449000,0
0.243087447,0.948070794,1558449900,0
0.207374034,0.954845881,1558450800,0
0.199505692,0.956130675,1558451700,0
0.243125178,0.947160246,1558452600,0
0.252642598,0.945289437,1558453500,0
0.258152766,0.944639991,1558454400,0
0.226591876,0.95073382,1558455300,0
0.276797016,0.940268939,1558456200,0
0.291653969,0.937275266,1558457100,0
0.249603469,0.945797314,1558458000,0
0.218155901,0.951911432,1558458900,0
0.190375967,0.957753437,1558459800,0
0.221120531,0.953187204,1558460700,0
0.188996715,0.957736603,1558461600,0
0.442566561,0.913091925,1558462500,0
0.201732481,0.95530038,1558463400,0
0.238383807,0.949282635,1558464300,0
0.304525564,0.93509592,1558465200,0
0.215451583,0.9519989,1558466100,0
0.269850151,0.943545706,1558467000,0
0.230431329,0.953359931,1558467900,0
0.356357747,0.92607458,1558468800,0
0.253214949,0.948285149,1558469700,0
0.217613842,0.952114177,1558470600,0
0.218569529,0.95207677,1558471500,0
0.250066435,0.951452411,1558496700,0
0.267663575,0.943694062,1558497600,0
0.220566678,0.951836058,1558498500,0
0.314553792,0.937800714,1558499400,0
