arsnr,mse,date,class
13.77942551,0.142739052,1558354500,0
11.22489891,0.292067024,1558356300,0
7.201385556,0.35850969,1558357200,0
12.60644277,0.253475314,1558358100,0
12.58833681,0.209436346,1558359000,0
13.05976546,0.164492251,1558359900,0
11.93239579,0.271062697,1558360800,0
11.16165639,0.294934871,1558361700,0
13.33142155,0.147797668,1558362600,0
13.08622475,0.169408363,1558363500,0
13.50189696,0.138855986,1558364400,0
13.2558783,0.130076245,1558365300,0
13.0098648,0.198836051,1558366200,0
12.82816896,0.213255471,1558367100,0
13.37843303,0.166825299,1558368000,0
12.6796845,0.222105547,1558368900,0
13.31646354,0.206218189,1558369800,0
13.57135254,0.145490518,1558370700,0
13.05724312,0.191344751,1558371600,0
12.95221876,0.200589573,1558372500,0
13.63501753,0.156642824,1558373400,0
13.14485369,0.180387029,1558374300,0
13.45309899,0.193699646,1558375200,0
13.11722427,0.185299626,1558376100,0
13.05553381,0.185966996,1558377000,0
13.89318056,0.123681075,1558377900,0
13.73419417,0.139152645,1558378800,0
13.67948847,0.157474526,1558379700,0
13.80524221,0.140226604,1558380600,0
13.7340721,0.139955574,1558381500,0
14.08695351,0.093140927,1558382400,0
14.46697897,0.079461187,1558383300,0
13.42418994,0.163828944,1558384200,0
14.20937911,0.114484093,1558385100,0
13.93268861,0.136578242,1558386000,0
14.3187367,0.101868593,1558386900,0
14.08350934,0.097483226,1558387800,0
14.52196578,0.090966776,1558388700,0
15.17743885,0.031771137,1558397700,0
15.07325514,0.056231979,1558398600,0
14.50931746,0.096231713,1558399500,0
14.29482433,0.107351888,1558400400,0
14.30416389,0.089632312,1558401300,0
14.62228288,0.107675215,1558402200,0
14.59765823,0.076168244,1558403100,0
14.22222571,0.091424176,1558404000,0
14.22098056,0.153370474,1558404900,0
13.41014945,0.127280007,1558405800,0
14.10712091,0.122038626,1558406700,0
13.70051525,0.126166073,1558407600,0
13.76057309,0.137624524,1558408500,0
13.80120796,0.123733552,1558409400,0
13.72871549,0.117725375,1558410300,0
12.58762653,0.184422778,1558411200,0
12.83197569,0.196027703,1558412100,0
12.72395546,0.205228319,1558413000,0
12.55277235,0.187815916,1558413900,0
13.17070642,0.130227003,1558414800,0
12.34114631,0.191033738,1558415700,0
12.69953187,0.19723105,1558416600,0
12.73707794,0.196986022,1558417500,0
12.54475795,0.211262073,1558418400,0
12.69899166,0.192697241,1558419300,0
12.37464678,0.237098934,1558420200,0
13.77035836,0.149479159,1558421100,0
13.2911503,0.179947789,1558422000,0
10.55264979,0.315105013,1558422900,0
8.025661316,0.331375249,1558423800,0
8.758774807,0.301616121,1558424700,0
6.16296342,0.443975888,1558425600,0
7.497610968,0.386277727,1558426500,0
8.579770867,0.346037001,1558427400,0
7.926909072,0.368067929,1558428300,0
8.34037916,0.352238329,1558429200,0
7.24746217,0.444038553,1558430100,0
8.108030998,0.421814281,1558431000,0
8.179333956,0.380434374,1558431900,0
8.47213517,0.379885703,1558432800,0
8.942420212,0.366125618,1558433700,0
8.80408691,0.326951284,1558434600,0
8.482026113,0.340630414,1558435500,0
9.340469087,0.314821021,1558436400,0
9.238360589,0.316895148,1558437300,0
8.719633966,0.312909304,1558438200,0
9.141100285,0.327187544,1558439100,0
8.380082504,0.339928588,1558440000,0
9.282427035,0.30819981,1558440900,0
9.345519512,0.283922182,1558441800,0
8.505798545,0.353648288,1558442700,0
9.389123232,0.349899187,1558443600,0
9.041315308,0.351483704,1558444500,0
10.29444558,0.270951911,1558445400,0
9.503101444,0.280296908,1558446300,0
8.582137451,0.319936393,1558447200,0
8.831930424,0.341518355,1558448100,0
9.149690857,0.31218426,1558449000,0
10.24692779,0.268760314,1558449900,0
9.376233738,0.308848064,1558450800,0
8.856673486,0.38716793,1558451700,0
10.03459082,0.255785543,1558452600,0
9.783113581,0.274346612,1558453500,0
9.682672038,0.258137512,1558454400,0
9.662535143,0.246793256,1558455300,0
9.354280557,0.300730424,1558456200,0
7.915622101,0.319149072,1558457100,0
9.587935131,0.291051779,1558458000,0
9.310515261,0.266092979,1558458900,0
9.919151094,0.279606526,1558459800,0
10.121472,0.259641975,1558460700,0
9.656034956,0.251765747,1558461600,0
9.358142296,0.291717267,1558462500,0
9.91750585,0.270905575,1558463400,0
10.54999418,0.251352312,1558464300,0
10.64887569,0.251630067,1558465200,0
8.247231778,0.286642011,1558466100,0
7.715755862,0.265867985,1558467000,0
8.139109518,0.194685441,1558467900,0
8.78281175,0.250548852,1558468800,0
9.00936524,0.225245057,1558469700,0
8.708789757,0.292268959,1558470600,0
8.179399042,0.265981014,1558471500,0
7.276798363,0.30326676,1558496700,0
6.533034517,0.352743769,1558497600,0
7.142184275,0.339779632,1558498500,0
6.801177625,0.372965381,1558499400,0
6.981325622,0.388984602,1558500300,0
7.118358115,0.337947502,1558501200,0
7.877789134,0.262557257,1558502100,0
6.400605769,0.420481441,1558507500,0
6.252878699,0.40534417,1558508400,0
5.755237391,0.411699121,1558509300,0
6.573173302,0.353331654,1558510200,0
6.515945553,0.34935128,1558511100,0
6.026137636,0.372833575,1558512000,0
6.508192823,0.367755258,1558512900,0
5.766577349,0.412692204,1558513800,0
5.710677656,0.413048281,1558514700,0
6.181161105,0.415369602,1558515600,0
6.764465563,0.384741358,1558516500,0
6.911483523,0.3754417,1558517400,0
7.365616872,0.336196545,1558518300,0
7.002085678,0.353131734,1558519200,0
7.195275334,0.319991493,1558520100,0
7.431522747,0.353828619,1558521000,0
6.533077392,0.393331504,1558521900,0
7.427132194,0.342317409,1558522800,0
6.480109729,0.400696653,1558523700,0
7.531069981,0.335439044,1558524600,0
7.77196733,0.317782435,1558525500,0
7.703503147,0.320807731,1558526400,0
8.149099301,0.299469251,1558527300,0
8.164336864,0.328056354,1558528200,0
6.880358173,0.319542523,1558529100,0
8.267116319,0.301989941,1558530000,0
8.785498742,0.277304363,1558530900,0
8.178327685,0.29827182,1558531800,0
7.958237653,0.292614858,1558532700,0
8.545015819,0.299762786,1558533600,0
8.113170715,0.285516786,1558534500,0
7.818127292,0.289376156,1558535400,0
7.327072263,0.316244143,1558536300,0
8.115929695,0.323380698,1558537200,0
8.037322104,0.30740153,1558538100,0
7.452195262,0.363904055,1558539000,0
9.528970066,0.251449224,1558539900,0
8.718951172,0.290152589,1558540800,0
8.094884393,0.309929341,1558541700,0
9.122404456,0.242607758,1558542600,0
8.379659331,0.295892382,1558543500,0
8.777752077,0.299099011,1558544400,0
8.471798068,0.279023899,1558545300,0
7.478079631,0.324051311,1558546200,0
8.398537745,0.243159754,1558547100,0
8.962205751,0.319877545,1558548000,0
9.843976102,0.212857727,1558548900,0
8.975951517,0.25204958,1558549800,0
7.750951065,0.330449265,1558550700,0
7.076956507,0.3409657,1558551600,0
8.586111412,0.287815209,1558552500,0
8.735103932,0.285473455,1558553400,0
5.627209772,0.406042132,1558554300,0
7.482630483,0.297560894,1558555200,0
7.159143024,0.342841567,1558556100,0
7.935798627,0.245086645,1558557000,0
5.812958968,0.364876298,1558557900,0
8.312933592,0.206361518,1558558800,0
9.117551321,0.22258818,1558559700,0
6.776733191,0.312422971,1558560600,0
8.08827825,0.328756318,1558561500,0
7.017174936,0.333738312,1558569600,0
7.823379377,0.310584386,1558570500,0
9.091295682,0.246485678,1558571400,0
8.643469667,0.239617703,1558572300,0
7.705515646,0.314571758,1558573200,0
8.056877112,0.241630601,1558574100,0
9.483813322,0.190835754,1558575000,0
7.693203367,0.267182601,1558575900,0
9.413599793,0.239458783,1558576800,0
9.936756659,0.20620223,1558577700,0
7.264756288,0.281760259,1558578600,0
9.191490118,0.242832557,1558579500,0
8.410105851,0.296858616,1558580400,0
7.944636614,0.317408761,1558581300,0
7.651642324,0.328512066,1558582200,0
7.416977644,0.342205909,1558583100,0
7.625718947,0.290415271,1558584000,0
6.533875341,0.387010517,1558584900,0
6.913672261,0.33369534,1558585800,0
6.515218294,0.364806011,1558586700,0
6.545969978,0.357342927,1558587600,0
5.500301246,0.416030148,1558588500,0
6.590420257,0.344185526,1558589400,0
6.057953127,0.38932013,1558590300,0
5.908900023,0.414203067,1558591200,0
6.097812357,0.352233338,1558592100,0
5.642586574,0.415376281,1558593000,0
5.234697951,0.406724322,1558593900,0
5.36680697,0.414285386,1558594800,0
4.916087798,0.427780452,1558595700,0
5.542945637,0.390692994,1558596600,0
5.688418615,0.40780499,1558597500,0
5.690759124,0.383614555,1558598400,0
4.855941725,0.44702464,1558599300,0
5.947768384,0.375112449,1558600200,0
5.795045097,0.377511675,1558601100,0
5.996671533,0.351365176,1558602000,0
5.551325188,0.400543131,1558602900,0
6.279112496,0.385883616,1558603800,0
5.702766642,0.411733784,1558604700,0
6.04263866,0.396693587,1558605600,0
6.582094489,0.369421664,1558606500,0
6.172176674,0.398613793,1558607400,0
6.305277002,0.384218892,1558608300,0
6.960229838,0.311565926,1558609200,0
6.803999874,0.352359632,1558610100,0
7.036687264,0.336366652,1558611000,0
7.12560684,0.341800525,1558611900,0
6.902057145,0.354513076,1558612800,0
7.069491797,0.345568582,1558613700,0
7.643584155,0.331020645,1558614600,0
7.165012653,0.355436602,1558615500,0
7.717492124,0.311184633,1558616400,0
7.99378683,0.303645682,1558617300,0
7.312458099,0.370166483,1558618200,0
7.217635923,0.379318543,1558619100,0
7.17214474,0.369648995,1558620000,0
8.759006614,0.27471437,1558620900,0
7.852426865,0.319006816,1558621800,0
7.429780919,0.344682094,1558622700,0
7.439007517,0.334755427,1558623600,0
8.584734503,0.275467202,1558624500,0
7.811936726,0.30181785,1558625400,0
8.018566587,0.300118979,1558626300,0
7.712617554,0.288178409,1558627200,0
7.881096371,0.318660015,1558628100,0
7.60751641,0.353219493,1558629000,0
8.354895283,0.264616708,1558629900,0
8.22327899,0.278364179,1558630800,0
8.275796618,0.332530093,1558631700,0
7.449744914,0.338802509,1558632600,0
8.248271422,0.268130621,1558633500,0
8.153612329,0.29177937,1558634400,0
8.389207066,0.265455239,1558635300,0
8.150852024,0.339341575,1558636200,0
7.948011039,0.301624376,1558637100,0
8.299985997,0.286609192,1558638000,0
8.83235506,0.318079977,1558638900,0
