arsnr,mse,date,class
16.15290012,0.136371177,1558354500,0
14.27635719,0.145718388,1558356300,0
13.02522868,0.183728871,1558357200,0
15.19744606,0.17691485,1558358100,0
16.56491984,0.149748015,1558359000,0
16.46421307,0.142572727,1558359900,0
15.81194034,0.154662136,1558360800,0
16.26190285,0.159363836,1558361700,0
16.91522154,0.147373973,1558362600,0
16.37844419,0.121774409,1558363500,0
17.16352889,0.117100417,1558364400,0
16.49365792,0.113440096,1558365300,0
16.43970535,0.139474003,1558366200,0
17.33034383,0.128945353,1558367100,0
17.79471218,0.115265293,1558368000,0
16.77975425,0.148234884,1558368900,0
16.79959092,0.162003814,1558369800,0
16.48180721,0.109771649,1558370700,0
16.16255138,0.136769866,1558371600,0
17.12477028,0.13204459,1558372500,0
15.35723298,0.155602224,1558373400,0
16.91411793,0.126798778,1558374300,0
17.31791278,0.13240258,1558375200,0
17.07696921,0.122295835,1558376100,0
15.7236019,0.14534078,1558377000,0
17.35665032,0.105640494,1558377900,0
16.44735438,0.110023133,1558378800,0
15.81603776,0.121339583,1558379700,0
16.87443406,0.106107533,1558380600,0
16.86300311,0.123635506,1558381500,0
18.16008419,0.084812932,1558382400,0
17.30724288,0.102860824,1558383300,0
16.16482281,0.133493781,1558384200,0
15.7378199,0.135118572,1558385100,0
15.83250198,0.167369484,1558386000,0
16.89736111,0.11380855,1558386900,0
17.26659412,0.104176309,1558387800,0
16.50575296,0.112817012,1558388700,0
18.76785583,0.016332653,1558397700,0
16.88082305,0.069101523,1558398600,0
16.60398043,0.115274887,1558399500,0
17.41638658,0.103541954,1558400400,0
17.82979628,0.076069086,1558401300,0
16.07364483,0.116952012,1558402200,0
17.96432311,0.087732927,1558403100,0
17.97269407,0.074654952,1558404000,0
17.44766852,0.107810918,1558404900,0
18.00917423,0.063614245,1558405800,0
18.52806789,0.09530037,1558406700,0
18.49004561,0.096818069,1558407600,0
17.82353414,0.115438457,1558408500,0
17.84562656,0.109432025,1558409400,0
18.13616962,0.09969028,1558410300,0
18.16288235,0.108287768,1558411200,0
18.96755336,0.126686638,1558412100,0
17.79930414,0.121487128,1558413000,0
17.95667689,0.119892779,1558413900,0
17.31927921,0.114392408,1558414800,0
18.19162258,0.11500313,1558415700,0
16.1487565,0.141131343,1558416600,0
16.72737923,0.123494903,1558417500,0
17.67624713,0.126421236,1558418400,0
17.76292706,0.136581113,1558419300,0
16.37385652,0.142263939,1558420200,0
17.02454631,0.158803974,1558421100,0
18.1075107,0.128658977,1558422000,0
15.54557052,0.184653665,1558422900,0
16.8027247,0.160262253,1558423800,0
17.6716337,0.154444168,1558424700,0
15.41748338,0.193881846,1558425600,0
14.72799731,0.161942257,1558426500,0
16.09730453,0.174442598,1558427400,0
15.94621744,0.167916843,1558428300,0
16.54512496,0.158784161,1558429200,0
