arsnr,mse,date,class
1.979884452,0.671823629,1556064000,1
4.916573628,0.545982059,1556065800,1
2.324037376,0.667016731,1556066700,1
5.013339656,0.523926697,1556067600,1
4.777345941,0.553348574,1556068500,1
4.340346988,0.544645439,1556069400,1
5.118282163,0.516563389,1556070300,1
2.655396564,0.748282635,1556071200,1
5.56979945,0.492744058,1556072100,1
5.463476373,0.492513682,1556073000,1
5.298006628,0.509319442,1556073900,1
5.108335736,0.550858711,1556074800,1
4.890015065,0.530418809,1556075700,1
4.949128903,0.520507902,1556076600,1
5.06234443,0.513317124,1556077500,1
4.624999026,0.528450107,1556078400,1
5.138502599,0.508362969,1556079300,1
4.926252219,0.535749963,1556080200,1
5.087652371,0.503816491,1556081100,1
4.944575219,0.521089492,1556082000,1
4.723241321,0.536873693,1556082900,1
4.289829254,0.571977441,1556083800,1
4.484715092,0.549129977,1556084700,1
5.124888438,0.526639482,1556085600,1
4.745429171,0.528311027,1556086500,1
4.515564544,0.530963559,1556087400,1
4.466817157,0.540804905,1556088300,1
4.802075106,0.533838242,1556089200,1
4.510382239,0.544548042,1556090100,1
5.21417245,0.526328209,1556091000,1
3.95535699,0.540760569,1556091900,1
4.545679005,0.545881982,1556092800,1
4.287380128,0.559119593,1556093700,1
4.718566526,0.522450961,1556094600,1
5.104942791,0.509250241,1556095500,1
5.10291309,0.510538259,1556096400,1
4.333651759,0.558304183,1556097300,1
4.883141611,0.523176014,1556098200,1
4.644506701,0.560564813,1556099100,1
4.351670213,0.548273919,1556100000,1
4.005492932,0.577955774,1556100900,1
4.755986026,0.524799729,1556101800,1
4.732878481,0.527695454,1556102700,1
5.255981726,0.521110712,1556103600,1
4.657162377,0.538875023,1556104500,1
4.565153369,0.568402891,1556105400,1
4.516581827,0.526212594,1556106300,1
4.805342309,0.525729433,1556107200,1
4.527213164,0.530020429,1556108100,1
4.719125183,0.518105157,1556109000,1
4.714691938,0.537216154,1556109900,1
4.629455217,0.53488943,1556110800,1
4.342210496,0.543645576,1556111700,1
4.808213201,0.531138832,1556112600,1
4.530048332,0.537437874,1556113500,1
4.836691329,0.522522652,1556114400,1
4.285579658,0.567337645,1556115300,1
5.090437342,0.509135419,1556116200,1
4.869622848,0.520245091,1556117100,1
4.461905273,0.567386735,1556118000,1
4.697081805,0.532758247,1556118900,1
4.768167694,0.544114727,1556119800,1
4.405806634,0.576933918,1556120700,1
4.946305211,0.531099726,1556121600,1
4.683390834,0.537781466,1556122500,1
4.671184539,0.532464071,1556123400,1
5.113206399,0.530612885,1556124300,1
4.534808278,0.558511397,1556125200,1
4.531303946,0.556705555,1556126100,1
4.42533297,0.557092513,1556127000,1
4.280917695,0.54714104,1556127900,1
4.026964716,0.564657023,1556128800,1
4.166914424,0.586732836,1556129700,1
4.535267509,0.534242822,1556130600,1
4.882690904,0.545861155,1556131500,1
4.631120339,0.539154098,1556132400,1
4.326814761,0.545773458,1556133300,1
4.017133135,0.543822592,1556134200,1
4.023623099,0.548884394,1556135100,1
4.693141536,0.529473143,1556136000,1
5.351884069,0.480097657,1556136900,1
3.805924562,0.602575838,1556137800,1
4.528541982,0.557341758,1556138700,1
4.197187,0.571285376,1556139600,1
4.65200575,0.541281751,1556140500,1
2.767878713,0.608807391,1556141400,1
3.769513567,0.581015371,1556142300,1
3.410244836,0.544724478,1556150400,1
4.088279284,0.581811134,1556151300,1
3.739517122,0.598055104,1556152200,1
4.416100201,0.54155929,1556153100,1
4.682822056,0.550535149,1556154000,1
5.095711646,0.493603789,1556154900,1
5.142012165,0.514139788,1556155800,1
3.676367111,0.556572327,1556156700,1
3.424423944,0.606568241,1556157600,1
3.98201397,0.554528325,1556158500,1
4.822595541,0.58953285,1556159400,1
5.033198355,0.515376066,1556160300,1
5.460192023,0.476623861,1556161200,1
4.778421479,0.548398323,1556162100,1
4.817773552,0.523533807,1556163000,1
4.777239526,0.51676031,1556163900,1
4.191971914,0.564356167,1556164800,1
4.657292434,0.54942379,1556165700,1
4.615993345,0.538030234,1556166600,1
4.584385794,0.559035772,1556167500,1
4.488499316,0.532114385,1556168400,1
4.197344914,0.56447125,1556169300,1
4.641938706,0.540834783,1556170200,1
4.661849344,0.54801461,1556171100,1
4.942402066,0.524842564,1556172000,1
4.582255626,0.551052089,1556172900,1
4.165026253,0.547361403,1556173800,1
4.787748927,0.51623906,1556174700,1
4.170128721,0.554652817,1556175600,1
4.546390948,0.550280561,1556176500,1
3.91355417,0.569769957,1556177400,1
5.165899049,0.488754569,1556178300,1
4.039258763,0.581708123,1556179200,1
5.244875328,0.507359334,1556180100,1
3.892294844,0.58169095,1556181000,1
4.990374453,0.49513708,1556181900,1
3.975488926,0.560389413,1556182800,1
4.384621985,0.57024004,1556183700,1
4.110547146,0.554489507,1556184600,1
4.175159862,0.577660586,1556185500,1
4.025414785,0.550736257,1556186400,1
5.688036179,0.479526266,1556187300,1
3.485085856,0.578205425,1556188200,1
3.326694905,0.464868918,1556189100,1
3.431297623,0.561725739,1556190000,1
3.743596758,0.549895487,1556190900,1
4.005975948,0.48125775,1556191800,1
2.904120777,0.611533869,1556192700,1
1.42884631,0.75167696,1556193600,1
4.807044687,0.522598691,1556194500,1
3.479216432,0.532931641,1556195400,1
3.887715828,0.491418252,1556196300,1
5.299247277,0.508753239,1556197200,1
5.15772133,0.500779939,1556198100,1
4.030759728,0.608601711,1556199000,1
5.120814149,0.556090847,1556199900,1
5.411154257,0.50540396,1556200800,1
4.541795473,0.629081268,1556201700,1
2.064062171,0.628818442,1556202600,1
3.943345999,0.563750401,1556203500,1
5.641659534,0.480834277,1556204400,1
3.019297272,0.561560687,1556205300,1
2.697140734,0.644449315,1556206200,1
4.254782399,0.596847066,1556208000,1
1.946548875,0.699873705,1556208900,1
5.29820942,0.522038666,1556209800,1
6.15175703,0.50240591,1556211600,1
4.580067053,0.572673341,1556212500,1
4.290903022,0.563298109,1556214300,1
4.150717198,0.527806459,1556215200,1
3.711293031,0.584804734,1556216100,1
3.3908306,0.570181694,1556217900,1
4.001924269,0.5989244,1556218800,1
3.224581541,0.570900932,1556219700,1
4.458803596,0.564640647,1556220600,1
2.765621281,0.633433309,1556221500,1
4.427581457,0.543515264,1556222400,1
3.796038399,0.535785959,1556223300,1
4.683258692,0.536399568,1556225100,1
3.969138705,0.550392355,1556226000,1
4.76042059,0.526066123,1556226900,1
5.020169929,0.54452458,1556227800,1
5.037555258,0.542904972,1556228700,1
1.870914818,0.704628407,1556237700,1
4.664364114,0.53197613,1556238600,1
4.823333803,0.599560795,1556239500,1
2.724215081,0.596946324,1556240400,1
3.490771346,0.563237328,1556241300,1
5.436635432,0.541861496,1556242200,1
2.340334107,0.684241702,1556243100,1
3.107755911,0.622345731,1556244000,1
4.111639437,0.567252221,1556245800,1
2.653163121,0.661572781,1556246700,1
5.51295772,0.526675899,1556247600,1
4.553401146,0.552100149,1556248500,1
4.890172556,0.535424506,1556249400,1
4.445791464,0.532432223,1556250300,1
4.648209622,0.520484137,1556251200,1
5.615439214,0.51393552,1556252100,1
5.157743019,0.531611726,1556253000,1
4.333624866,0.543463979,1556253900,1
4.728701253,0.558671689,1556254800,1
4.133805469,0.549932733,1556255700,1
5.016351641,0.497659948,1556256600,1
3.759137616,0.579078158,1556257500,1
3.602134269,0.600559034,1556258400,1
3.904619114,0.525750139,1556259300,1
4.387671346,0.590395809,1556260200,1
4.01456035,0.628814214,1556261100,1
3.841503678,0.583775452,1556262000,1
4.390578085,0.561961694,1556262900,1
4.839446172,0.537772668,1556263800,1
3.972524621,0.588242715,1556264700,1
4.392166454,0.535261113,1556265600,1
4.235840867,0.542696376,1556266500,1
3.417507728,0.625532689,1556267400,1
4.202390932,0.598385125,1556268300,1
4.061097579,0.542294556,1556269200,1
3.929443012,0.534586173,1556270100,1
3.269979701,0.597184706,1556271000,1
4.253853781,0.59975658,1556271900,1
4.121959833,0.555325091,1556272800,1
4.182136295,0.571176193,1556273700,1
4.082403345,0.531931265,1556274600,1
4.051192122,0.577269975,1556275500,1
4.006328814,0.608115584,1556276400,1
4.119656485,0.592055856,1556277300,1
4.263991762,0.57723836,1556278200,1
3.996814135,0.614113503,1556279100,1
5.04552084,0.549851809,1556280000,1
3.820288564,0.569853011,1556280900,1
4.106111947,0.569261135,1556281800,1
4.572434576,0.544251536,1556282700,1
4.219156909,0.567810292,1556283600,1
3.258396015,0.588216384,1556284500,1
4.397423237,0.541351278,1556285400,1
3.297440784,0.659982543,1556286300,1
3.726426149,0.578710139,1556287200,1
3.639856938,0.608319257,1556288100,1
3.768499213,0.538595659,1556289000,1
3.816382829,0.567800538,1556289900,1
4.046462697,0.595792993,1556290800,1
4.131641251,0.605290306,1556291700,1
3.500449744,0.606245045,1556292600,1
3.85940455,0.619134787,1556293500,1
3.762524038,0.577631938,1556294400,1
3.792305978,0.603439938,1556295300,1
3.76994929,0.613151421,1556296200,1
3.562990347,0.591965603,1556297100,1
3.728615516,0.572826555,1556298000,1
4.666192037,0.553627041,1556298900,1
3.275242603,0.634965297,1556299800,1
4.286975526,0.567259521,1556300700,1
3.432880985,0.597495602,1556301600,1
4.443642926,0.575586093,1556302500,1
3.433312645,0.635435667,1556303400,1
4.152109084,0.581428,1556304300,1
3.337238358,0.590969635,1556305200,1
2.957555749,0.626589261,1556306100,1
4.015656797,0.558010094,1556307000,1
3.396341115,0.616255857,1556307900,1
3.486702405,0.588655091,1556308800,1
5.704236462,0.540613638,1556309700,1
4.848325628,0.543406756,1556310600,1
3.289463877,0.598690957,1556311500,1
3.283157196,0.613405182,1556312400,1
4.074486489,0.593621908,1556313300,1
3.370122209,0.615107559,1556314200,1
4.781461498,0.586612592,1556315100,1
4.302422695,0.562850132,1556325000,1
4.04506946,0.542627282,1556325900,1
2.928420682,0.607828133,1556326800,1
3.234778425,0.603432299,1556327700,1
3.595209174,0.537319332,1556328600,1
5.22116528,0.511661733,1556329500,1
4.552492207,0.525455398,1556330400,1
3.668387855,0.602073705,1556331300,1
4.094696919,0.581913415,1556332200,1
0.765623983,0.841814465,1556333100,1
6.034856278,0.497377209,1556334000,1
4.495906091,0.530912994,1556334900,1
5.391889334,0.520401853,1556335800,1
5.242201801,0.524057768,1556336700,1
4.64965312,0.543600669,1556337600,1
4.537842898,0.557403102,1556338500,1
5.023371821,0.528586837,1556339400,1
3.815273778,0.596106319,1556340300,1
3.980642557,0.57795582,1556341200,1
4.792676102,0.543225263,1556342100,1
4.853664313,0.527459237,1556343000,1
4.732402318,0.533879793,1556343900,1
4.361214935,0.532498888,1556344800,1
4.744862851,0.525579286,1556345700,1
4.764179558,0.562910296,1556346600,1
5.0587805,0.534438428,1556347500,1
4.294694568,0.562108103,1556348400,1
3.079987101,0.631859918,1556349300,1
4.961053978,0.548599416,1556350200,1
4.415973385,0.537102962,1556351100,1
4.378717929,0.553423294,1556352000,1
4.0203853,0.552955826,1556352900,1
4.595548226,0.562088328,1556353800,1
5.082422854,0.527530201,1556354700,1
4.711060011,0.541032929,1556355600,1
4.180883353,0.558857695,1556356500,1
4.477654813,0.539055207,1556357400,1
4.369655004,0.54737358,1556358300,1
4.551377105,0.535258332,1556359200,1
4.580665684,0.552245296,1556360100,1
4.953860606,0.48971436,1556361000,1
4.437767026,0.557720315,1556361900,1
4.419545338,0.604243189,1556362800,1
3.230802989,0.615001433,1556363700,1
4.175947583,0.559686734,1556364600,1
4.028884333,0.590750347,1556365500,1
4.332216555,0.549255327,1556366400,1
3.466429957,0.63488556,1556367300,1
4.258698716,0.605381014,1556368200,1
3.079313196,0.657589833,1556369100,1
3.436918791,0.59871196,1556370000,1
2.938839546,0.624229868,1556370900,1
3.61738381,0.611133368,1556371800,1
4.325332765,0.579133063,1556372700,1
