date,mse
1557564300.0,2.2880811985877564e-05
1557565200.0,2.4169334418069004e-05
1557566100.0,2.2880280198113018e-05
1557567000.0,1.3006157784070742e-05
1557567900.0,1.2628330320002845e-05
1557568800.0,1.9563118789386187e-05
1557569700.0,1.3067670725729711e-05
1557570600.0,1.6793559272164065e-05
1557571500.0,1.4708891657341057e-05
1557572400.0,1.3172703322680005e-05
1557573300.0,1.712905405768474e-05
1557574200.0,1.8161704515530957e-05
1557575100.0,2.0648704951177805e-05
1557576000.0,1.3923942660053135e-05
1557576900.0,2.3250684310497244e-05
1557577800.0,2.2843497123732277e-05
1557578700.0,2.233382640276113e-05
1557579600.0,1.0923279881608653e-05
1557580500.0,1.8401400809184025e-05
1557581400.0,1.1756127121170741e-05
1557582300.0,1.1289804262398551e-05
1557583200.0,2.23059430987248e-05
1557584100.0,1.310488896187971e-05
1557585000.0,1.517994810396203e-05
1557585900.0,1.7325218213519415e-05
1557586800.0,9.387491779664068e-06
1557587700.0,1.9991068893017497e-05
1557588600.0,1.022213737527141e-05
1557589500.0,7.479684760030341e-06
1557590400.0,9.452907225717573e-06
1557591300.0,1.4266146183430714e-05
1557592200.0,6.762751776602622e-06
1557593100.0,1.0801588772155515e-05
1557594900.0,1.2563660414992839e-05
1557595800.0,6.327217444648446e-06
1557596700.0,1.047479894691004e-05
1557597600.0,6.294759671026845e-06
1557598500.0,8.682047532667507e-06
1557599400.0,6.661502594923145e-06
1557600300.0,5.8720827145041445e-06
1557601200.0,1.1703821639462545e-05
1557602100.0,1.2149847876094323e-05
1557603900.0,1.005853804391776e-05
1557604800.0,1.013012189198748e-05
1557605700.0,1.2367107409544199e-05
1557606600.0,6.769042638454049e-06
1557607500.0,7.663397635889093e-06
1557608400.0,9.358064865164795e-06
1557609300.0,1.3695108615456808e-05
1557610200.0,8.115183845439963e-06
1557611100.0,1.3437379460317725e-05
1557619200.0,5.885134957583729e-06
1557620100.0,1.1708549719373783e-05
1557621000.0,1.6787132693688577e-05
1557621900.0,1.097906294609576e-05
1557623700.0,2.8120612254367602e-06
1557624600.0,1.932331995737507e-05
1557626400.0,1.5604255495586014e-05
1557628200.0,1.0907799697226564e-05
1557630000.0,1.070175791294884e-05
1557631800.0,1.260867673272516e-05
1557632700.0,7.403482368526512e-06
1557633600.0,3.436720838310476e-06
1557634500.0,1.5233615623769474e-05
1557635400.0,3.9919564575711684e-05
1557636300.0,2.397563262176421e-05
1557637200.0,9.604789325895156e-07
1557639000.0,1.2753528536835625e-05
1557639900.0,4.445009751901484e-06
1557640800.0,1.8908313994528877e-05
1557641700.0,3.1357340104864e-05
1557642600.0,1.1793034879096904e-05
1557644400.0,1.6275034063259265e-05
1557645300.0,2.1718419052946587e-05
1557646200.0,1.3674823465551832e-05
1557647100.0,1.583100541584929e-05
1557648000.0,2.3957279420157203e-05
1557648900.0,1.9433248561051582e-05
1557649800.0,9.936125398134289e-06
1557650700.0,2.2580857686430277e-06
1557651600.0,1.9648924250478945e-05
1557652500.0,1.4114006989339057e-05
1557653400.0,1.1030672764904292e-05
1557654300.0,2.6048878813202648e-05
1557655200.0,2.0958076005124522e-05
1557656100.0,6.723800929310538e-06
1557657000.0,2.1672742062888695e-05
1557657900.0,2.1852769927902656e-05
1557658800.0,5.258306154417596e-06
1557659700.0,1.043784068120692e-05
1557660600.0,2.0498289434444957e-05
1557661500.0,3.275636284750656e-05
1557662400.0,2.794591357579649e-05
1557663300.0,1.0304878507879207e-05
1557664200.0,1.2513890695679926e-05
1557665100.0,1.4701822708793522e-05
1557666000.0,6.867965711122612e-06
1557666900.0,9.347590157690394e-06
1557667800.0,1.0896501258966584e-05
1557668700.0,7.871495602788077e-06
1557669600.0,1.4627557150785095e-05
1557670500.0,1.0936026110858464e-05
1557671400.0,9.781180438288285e-06
1557672300.0,6.705534567982057e-06
1557673200.0,4.934672518211818e-06
1557674100.0,1.2534121203387693e-05
1557675000.0,1.1344665053030504e-05
1557676800.0,1.108164835588006e-05
1557677700.0,7.356348118911173e-06
1557678600.0,8.514200581467136e-06
1557679500.0,6.409578775941335e-06
1557680400.0,7.788476832003667e-06
1557681300.0,3.2103874637779724e-06
1557684000.0,1.4092001493383194e-05
1557684900.0,7.2713841239727916e-06
1557685800.0,1.6451606604569004e-05
1557686700.0,5.488433297857337e-06
1557687600.0,1.4133682907018854e-05
1557688500.0,2.272100375041724e-05
1557689400.0,1.5856955411200846e-05
1557690300.0,1.3452620782848726e-05
1557691200.0,8.78406481785329e-06
1557692100.0,1.598646838889113e-05
1557693000.0,1.3490810904844544e-05
1557693900.0,1.3744749476028793e-05
1557694800.0,1.4213082068501611e-05
1557695700.0,1.1469214808613002e-05
1557696600.0,1.550587780532815e-05
1557697500.0,1.9912878555042483e-05
1557706500.0,1.1483252837039196e-05
1557707400.0,1.241080645621633e-05
1557708300.0,1.5169543115456156e-05
1557709200.0,1.2880111744305504e-05
1557710100.0,1.7052612288525608e-05
1557711000.0,2.8051076293790553e-05
1557711900.0,2.8422295267413536e-05
1557712800.0,3.092504474290486e-05
1557713700.0,2.0355234653494234e-05
1557714600.0,1.3242284348860147e-05
1557715500.0,2.1049443213270495e-05
1557716400.0,2.0317138837453265e-05
1557717300.0,2.3423189641608246e-05
1557718200.0,2.764787999337162e-05
1557719100.0,2.0225262393645562e-05
1557720000.0,2.112160602207042e-05
1557720900.0,2.2203059857736715e-05
1557721800.0,3.836371575533325e-05
1557722700.0,2.604454946193328e-05
1557723600.0,2.363453278175857e-05
1557724500.0,3.4950648066440046e-05
1557725400.0,2.5499451177721822e-05
1557726300.0,2.1878026302154197e-05
1557727200.0,2.379798518926682e-05
1557728100.0,2.344123517197495e-05
1557729000.0,2.0976779993385632e-05
1557729900.0,2.091942505070742e-05
1557730800.0,1.748618490383538e-05
1557731700.0,1.848016881682162e-05
1557732600.0,2.31500142307334e-05
1557733500.0,1.6755880505455783e-05
1557734400.0,2.533365311509334e-05
1557735300.0,2.1122234916868553e-05
1557736200.0,2.3744521776745262e-05
1557737100.0,1.579569406386965e-05
1557738000.0,2.1416281232019307e-05
1557738900.0,2.0636345683517584e-05
1557739800.0,2.6294378707647597e-05
1557740700.0,2.3660080883423793e-05
1557741600.0,1.4583032602694301e-05
1557742500.0,2.148393779361645e-05
1557743400.0,1.975639856149749e-05
1557744300.0,3.565368834309424e-05
1557745200.0,2.25237125778025e-05
1557746100.0,2.156335969852106e-05
1557747000.0,2.7590018060382273e-05
1557747900.0,2.97281184075728e-05
1557748800.0,2.5728700970389957e-05
1557749700.0,1.7548323993088013e-05
1557750600.0,3.532135576690927e-05
1557751500.0,2.7418238943212442e-05
1557752400.0,2.098391018815952e-05
1557753300.0,1.9528517467875092e-05
1557754200.0,2.2727404115891407e-05
1557755100.0,1.5134238127015852e-05
1557756000.0,1.9137318520657542e-05
1557756900.0,1.6643573378664792e-05
1557757800.0,1.4926436900329016e-05
1557758700.0,2.329544568162479e-05
1557759600.0,1.7845813131633755e-05
1557760500.0,2.129066435399726e-05
1557761400.0,2.1060670584815353e-05
1557762300.0,1.8265269380772692e-05
1557763200.0,1.777740983463754e-05
1557764100.0,1.8065824159243293e-05
1557765000.0,2.1850432866308382e-05
1557765900.0,1.5674422195841668e-05
1557766800.0,2.087017992782296e-05
1557767700.0,1.551758047570526e-05
1557768600.0,2.0718071163083585e-05
1557769500.0,2.1142338566797026e-05
1557770400.0,1.2979045095148685e-05
1557771300.0,1.3413839385213715e-05
1557772200.0,1.7160196684522346e-05
1557773100.0,1.2025292377826164e-05
1557774000.0,1.3949698067015625e-05
1557774900.0,1.1524107765154048e-05
1557775800.0,1.3852130102656756e-05
1557776700.0,1.5114003383348053e-05
1557777600.0,4.9605991708532575e-06
1557778500.0,1.0757921083816488e-05
1557779400.0,6.75791153975114e-06
1557780300.0,1.0952754527758596e-05
1557781200.0,9.61600629916646e-06
1557782100.0,8.548867058527012e-06
1557783000.0,1.0066133171171156e-05
1557783900.0,1.058959183541655e-05
1557792000.0,1.1997967568948872e-05
1557792900.0,1.3085755936970405e-05
1557793800.0,1.3461199468772173e-05
1557794700.0,1.055366398622654e-05
1557795600.0,6.239623872737569e-06
1557796500.0,1.1444584878782607e-05
1557797400.0,1.4959880342188935e-05
1557798300.0,1.2277186329797104e-05
1557799200.0,1.5715564351963454e-05
1557800100.0,9.34292618521051e-06
1557801000.0,1.9777155611096522e-05
1557801900.0,1.2931731714700246e-05
1557802800.0,1.7449188330979547e-05
1557803700.0,1.7881166772889214e-05
1557804600.0,1.4406022035609042e-05
1557805500.0,1.7866549246042224e-05
1557806400.0,1.6756994907942757e-05
1557807300.0,1.940342580659628e-05
1557808200.0,1.7014818283054e-05
1557809100.0,1.9444454414577966e-05
1557810000.0,2.6703520969933092e-05
1557810900.0,2.5815899660753267e-05
1557811800.0,2.117684957834755e-05
1557812700.0,2.4332255283574275e-05
1557813600.0,1.821665166200618e-05
1557814500.0,1.8272146247837134e-05
1557815400.0,2.2156744134335395e-05
1557816300.0,2.3221907862523453e-05
1557817200.0,1.9661899066453542e-05
1557818100.0,2.281890626792217e-05
1557819000.0,2.2045587201231666e-05
1557819900.0,2.60806007159785e-05
1557820800.0,2.7360851687707866e-05
1557821700.0,2.303863291657321e-05
1557822600.0,2.311287715499229e-05
1557823500.0,2.2812130769986502e-05
1557824400.0,2.116475855646009e-05
1557825300.0,2.2544681880789462e-05
1557826200.0,2.7631161408830102e-05
