0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-0.021469587,0.029314026,-0.039955035,0.0475945,-0.06102322,0.0750791,-0.086888134,0.10284653,0.108032644,-0.03376542,0.01982646,-0.062952556,0.027311627,-0.08552286,0.014831775,-0.06954696,0.07691532,-0.031974774,0.04363787,-0.0042039095,-0.04177815,0.10399208,-0.077997066,0.07769217,-0.031142063,0.01682693,-0.020707035,0.042415217,-0.07289283,0.03667882,-0.0056464844,0.09227964,-0.058686454,0.017718771,-0.08300876,0.008398025,-0.0039026134,0.11691044,-0.07510893,0.0075157657,-0.14243321,0.020483125,0.067698956,-0.073911734,-0.04998271,0.027772024,0.0045722723,0.018857822,0.0037441954,0.05678704,-0.042302378,0.019237839,0.07926701,0.04152888,-0.06598573,-0.04338076,-0.07867683,0.10768437,-0.08053154,-0.038581405,-0.01373956,-0.0102882655,-0.009010214
-0.021632157,0.029500594,-0.040200125,0.047775403,-0.061211348,0.07513334,-0.0868431,0.10239958,0.10781846,-0.033498004,0.019279916,-0.062729515,0.028134381,-0.08498461,0.013085607,-0.06954391,0.07705532,-0.032546937,0.043148175,-0.0042000143,-0.04038364,0.10237243,-0.07515062,0.074322216,-0.030666493,0.014749698,-0.022772772,0.043404955,-0.06894927,0.038364526,-0.0037723584,0.08913639,-0.06035769,0.017835936,-0.081295244,0.0077918456,-0.0066612973,0.111372985,-0.07043616,0.0052386746,-0.1316603,0.01850365,0.064713486,-0.07022528,-0.045363426,0.027786566,-5.2294978e-05,0.015506023,-0.0017497047,0.054304086,-0.042474747,0.021266127,0.079098925,0.03806409,-0.061223343,-0.0391427,-0.06954732,0.09558761,-0.073165216,-0.029675683,-0.012882036,-0.013864673,-0.006661322
-0.022125589,0.030038599,-0.040930334,0.04833249,-0.061790504,0.07522405,-0.086577564,0.10109821,0.1069816,-0.032535214,0.01785434,-0.061746385,0.03057085,-0.08286251,0.0079572955,-0.06929866,0.077205956,-0.03350105,0.04097489,-0.0035377187,-0.034640636,0.09833254,-0.067084864,0.0623364,-0.028015833,0.009206919,-0.026853563,0.04723546,-0.05743199,0.041724678,0.001415606,0.08072443,-0.0650217,0.019029323,-0.074538305,0.0064876117,-0.014819859,0.09422571,-0.05678543,-0.0027940578,-0.10284809,0.011743914,0.054655712,-0.057237476,-0.031919137,0.02497246,-0.012505647,0.006714351,-0.019552574,0.04643199,-0.042046327,0.025987735,0.076475136,0.026342329,-0.044694204,-0.031998068,-0.045567997,0.06421119,-0.05402365,-0.010255464,-0.011379529,-0.0234792,0.0034349733
-0.02229036,0.030212648,-0.041148383,0.048495643,-0.061948925,0.07517801,-0.086333536,0.10040752,0.10613586,-0.031927194,0.01736145,-0.06094193,0.031200016,-0.08123721,0.006095131,-0.068477474,0.07590452,-0.03306563,0.03948312,-0.0028060633,-0.032433435,0.09401919,-0.06133837,0.057026036,-0.025879283,0.006355247,-0.028666416,0.045829345,-0.05014559,0.041344102,0.003964009,0.07315864,-0.06280524,0.018459668,-0.06677558,0.0059389733,-0.016841965,0.08017986,-0.04634677,-0.006195181,-0.0823614,0.0075777154,0.04371159,-0.044084225,-0.022963027,0.02022815,-0.015366891,0.0011029335,-0.025091946,0.037569046,-0.035725556,0.023994856,0.061783496,0.015800972,-0.028255804,-0.024485769,-0.027062377,0.038118582,-0.035440546,-0.0009459711,-0.007797383,-0.021177555,0.009024161
-0.022640998,0.030585747,-0.041640356,0.04884737,-0.062275495,0.07512468,-0.08597826,0.09938814,0.105400965,-0.030974008,0.016555473,-0.05970528,0.032720428,-0.079146676,0.0028509956,-0.06823842,0.07536071,-0.03268777,0.037446212,-0.0012196256,-0.028858658,0.08934391,-0.05421273,0.049077585,-0.02286708,0.0021639152,-0.031943575,0.046216,-0.04048891,0.041452095,0.008334376,0.06625985,-0.06252811,0.01921732,-0.057770304,0.005558152,-0.020825306,0.06433342,-0.03568337,-0.011930269,-0.06358235,0.0024385229,0.031215105,-0.028217781,-0.014406113,0.013737575,-0.019703224,-0.007337738,-0.033749737,0.03003731,-0.031094113,0.021313002,0.048632666,0.0033125656,-0.011535537,-0.022386353,-0.010267342,0.016915808,-0.02396701,0.0041815266,-0.0058469363,-0.017565813,0.017277569
-0.023886647,0.031870496,-0.043354627,0.050031282,-0.06341056,0.074861355,-0.08477542,0.095701404,0.10285463,-0.027280446,0.014057309,-0.054806575,0.037573684,-0.07116981,-0.008066916,-0.06827938,0.07372594,-0.030745037,0.029878825,0.004107265,-0.015170747,0.07417052,-0.03155316,0.02217891,-0.011908179,-0.01078738,-0.04198933,0.04837582,-0.008342684,0.039271258,0.02438921,0.04780078,-0.060399737,0.022739178,-0.025147423,0.0066812085,-0.031364348,0.010899183,-0.0032443567,-0.029531706,-0.012900182,-0.015857894,-0.017543744,0.027620006,0.007421716,-0.011814909,-0.02978833,-0.032270435,-0.057237975,0.009360342,-0.013936397,0.004258258,-0.0038043947,-0.039677724,0.042828556,-0.021795366,0.037478555,-0.04145512,-0.0031422223,0.0057798675,0.0016721307,0.0068483837,0.04221222
-0.024221659,0.032200824,-0.043773837,0.050248016,-0.06353026,0.07439266,-0.08374036,0.09331827,0.09945071,-0.025272006,0.012944175,-0.051227532,0.03777569,-0.064933285,-0.011356389,-0.06445066,0.067121066,-0.027134705,0.024614895,0.0059605585,-0.009011127,0.05928173,-0.017509712,0.007947708,-0.004948561,-0.0154780345,-0.039810717,0.03921699,0.010453004,0.0299793,0.0280304,0.026290717,-0.04286917,0.018325023,0.0020719822,0.0051337527,-0.027940521,-0.028121304,0.022424797,-0.030321658,0.033980522,-0.022924136,-0.048080064,0.06059567,0.02298107,-0.027219167,-0.023704425,-0.04028269,-0.046620414,-0.015645554,0.009750557,-0.01411991,-0.054226857,-0.058165,0.07177983,-0.00034160912,0.06848307,-0.08583607,0.033829466,0.012673708,0.011207454,0.025755927,0.03503452
-0.024564864,0.032571204,-0.0442303,0.050554242,-0.06377197,0.07421224,-0.08324892,0.09196115,0.09814074,-0.023834202,0.012334507,-0.049086686,0.03868721,-0.06156826,-0.014162857,-0.06386538,0.06499895,-0.025356637,0.021882376,0.0077215526,-0.0058604907,0.051828105,-0.00937058,0.0013424208,-0.0009621971,-0.01888413,-0.0419822,0.03539438,0.02099283,0.026712824,0.032481026,0.01939908,-0.036664106,0.017645655,0.014743026,0.0053764186,-0.02685789,-0.04462385,0.031280495,-0.031191984,0.046522096,-0.026536763,-0.063117705,0.075859144,0.025632,-0.035247017,-0.020346144,-0.046281923,-0.04210292,-0.021521026,0.016765598,-0.023470605,-0.07327647,-0.06575761,0.0804645,0.0036124487,0.07398339,-0.09463177,0.035551094,0.00924772,0.015670985,0.035179533,0.03006855
-0.025271632,0.03331025,-0.045202084,0.05119657,-0.06433021,0.07393768,-0.08238884,0.08964438,0.09627473,-0.021143699,0.011439553,-0.045137215,0.04062348,-0.05593094,-0.019106777,-0.06426279,0.06293205,-0.02233843,0.017315788,0.011878543,-0.0006326554,0.041386567,0.0034515094,-0.007616263,0.0060277916,-0.023677694,-0.04800233,0.029797826,0.035900753,0.022642981,0.04131406,0.014687071,-0.02807005,0.017573308,0.032264672,0.0062845545,-0.023618126,-0.061657764,0.037086535,-0.030241568,0.04784153,-0.028981341,-0.08144645,0.09177768,0.020754097,-0.047086302,-0.011787209,-0.053324774,-0.033270743,-0.019331692,0.019005133,-0.03851717,-0.088273615,-0.068495676,0.07714856,0.0032647601,0.06250303,-0.08431124,0.013989515,-0.004230465,0.021652551,0.043812174,0.013777659
-0.025782993,0.03383751,-0.04586732,0.05158011,-0.06456921,0.07346972,-0.08130343,0.087140426,0.093183056,-0.018556861,0.010609355,-0.040747486,0.041133836,-0.049265895,-0.022411337,-0.062133893,0.057444137,-0.01800508,0.012290159,0.0151718315,0.0040919953,0.027932048,0.015829528,-0.016340397,0.012634847,-0.026042568,-0.04760768,0.019089533,0.048792493,0.01488295,0.04582108,0.0044522216,-0.01198247,0.013807903,0.0507291,0.0053683054,-0.015405975,-0.078234866,0.043403868,-0.0233492,0.05634205,-0.027520763,-0.09320761,0.09844777,0.017632023,-0.053936273,0.00095666863,-0.051883493,-0.013430234,-0.022702033,0.024707094,-0.049913175,-0.1004971,-0.060201503,0.064923115,0.013615381,0.04868644,-0.073355265,0.008319189,-0.011131043,0.026552156,0.04516009,-0.0099218255
-0.026117079,0.03413532,-0.046252,0.051713936,-0.06453111,0.07280885,-0.07993966,0.08430028,0.08863292,-0.016021485,0.009795402,-0.03592349,0.04014986,-0.041618023,-0.02412365,-0.057185538,0.04852091,-0.012890575,0.006667099,0.01698557,0.0081993,0.011708223,0.027915947,-0.025243327,0.018410131,-0.025989419,-0.041172408,0.0048941826,0.058596272,0.0036129998,0.044603113,-0.0115258,0.010356291,0.006244203,0.06788784,0.002619021,-0.0034175368,-0.091494575,0.049356103,-0.011708316,0.070697695,-0.021248283,-0.092740975,0.09219945,0.016436834,-0.053179745,0.015711725,-0.039537035,0.014220702,-0.030765882,0.032634754,-0.053115807,-0.10046454,-0.037812043,0.040401615,0.030620957,0.030963248,-0.055997357,0.018347383,-0.009890882,0.025258852,0.033769697,-0.035524525
-0.027022,0.035022553,-0.047359575,0.052274525,-0.06483956,0.071782306,-0.077807926,0.079761416,0.08294588,-0.011289619,0.0090681845,-0.027784884,0.03991063,-0.02980792,-0.02796019,-0.053630956,0.038069297,-0.0042856713,-0.0011370702,0.021948198,0.013008771,-0.010132761,0.04499857,-0.033506528,0.026238797,-0.025264543,-0.038250625,-0.014613886,0.07008944,-0.007925802,0.049402315,-0.021425385,0.037795544,-0.002736888,0.08659065,-0.0019437423,0.0150606595,-0.09401015,0.044100977,0.0065691774,0.0670057,-0.0067163743,-0.08510803,0.069964916,0.004984564,-0.053282723,0.036892768,-0.029768528,0.047715843,-0.03076047,0.028741669,-0.05035855,-0.080474555,0.00023645806,-0.01069736,0.04481353,-0.0017228709,-0.023068754,0.019072551,-0.017787566,0.021498734,0.010078312,-0.06087196
