0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.021469587,0.029314026,-0.039955035,0.0475945,-0.06102322,0.0750791,-0.086888134,0.10284653,0.108032644,-0.03376542,0.01982646,-0.062952556,0.027311627,-0.08552286,0.014831775,-0.06954696
-0.021632157,0.029500594,-0.040200125,0.047775403,-0.061211348,0.07513334,-0.0868431,0.10239958,0.10781846,-0.033498004,0.019279916,-0.062729515,0.028134381,-0.08498461,0.013085607,-0.06954391
-0.022125589,0.030038599,-0.040930334,0.04833249,-0.061790504,0.07522405,-0.086577564,0.10109821,0.1069816,-0.032535214,0.01785434,-0.061746385,0.03057085,-0.08286251,0.0079572955,-0.06929866
-0.02229036,0.030212648,-0.041148383,0.048495643,-0.061948925,0.07517801,-0.086333536,0.10040752,0.10613586,-0.031927194,0.01736145,-0.06094193,0.031200016,-0.08123721,0.006095131,-0.068477474
-0.022640998,0.030585747,-0.041640356,0.04884737,-0.062275495,0.07512468,-0.08597826,0.09938814,0.105400965,-0.030974008,0.016555473,-0.05970528,0.032720428,-0.079146676,0.0028509956,-0.06823842
-0.023886647,0.031870496,-0.043354627,0.050031282,-0.06341056,0.074861355,-0.08477542,0.095701404,0.10285463,-0.027280446,0.014057309,-0.054806575,0.037573684,-0.07116981,-0.008066916,-0.06827938
-0.024221659,0.032200824,-0.043773837,0.050248016,-0.06353026,0.07439266,-0.08374036,0.09331827,0.09945071,-0.025272006,0.012944175,-0.051227532,0.03777569,-0.064933285,-0.011356389,-0.06445066
-0.024564864,0.032571204,-0.0442303,0.050554242,-0.06377197,0.07421224,-0.08324892,0.09196115,0.09814074,-0.023834202,0.012334507,-0.049086686,0.03868721,-0.06156826,-0.014162857,-0.06386538
-0.025271632,0.03331025,-0.045202084,0.05119657,-0.06433021,0.07393768,-0.08238884,0.08964438,0.09627473,-0.021143699,0.011439553,-0.045137215,0.04062348,-0.05593094,-0.019106777,-0.06426279
-0.025782993,0.03383751,-0.04586732,0.05158011,-0.06456921,0.07346972,-0.08130343,0.087140426,0.093183056,-0.018556861,0.010609355,-0.040747486,0.041133836,-0.049265895,-0.022411337,-0.062133893
-0.026117079,0.03413532,-0.046252,0.051713936,-0.06453111,0.07280885,-0.07993966,0.08430028,0.08863292,-0.016021485,0.009795402,-0.03592349,0.04014986,-0.041618023,-0.02412365,-0.057185538
-0.027022,0.035022553,-0.047359575,0.052274525,-0.06483956,0.071782306,-0.077807926,0.079761416,0.08294588,-0.011289619,0.0090681845,-0.027784884,0.03991063,-0.02980792,-0.02796019,-0.053630956
-0.027911812,0.03588482,-0.04841927,0.052775063,-0.06505299,0.07055934,-0.07536805,0.074701525,0.07619329,-0.006241416,0.008459505,-0.018844524,0.03863587,-0.016915254,-0.030627904,-0.04885427
-0.028789038,0.03672811,-0.049442004,0.053206574,-0.06510872,0.06916457,-0.072680786,0.069243826,0.06855428,-0.0009609972,0.007945787,-0.009224878,0.036424138,-0.0032708219,-0.032251637,-0.043009948
-0.0293152,0.037249774,-0.050067615,0.05349084,-0.06515552,0.068380475,-0.0711594,0.066227995,0.06442937,0.0020123865,0.0079045035,-0.003878326,0.03505734,0.004001387,-0.032631926,-0.04036147
-0.03019925,0.038076047,-0.051062714,0.05383979,-0.06506078,0.06677662,-0.06818663,0.06055298,0.056239907,0.0071642003,0.007897722,0.005786761,0.03151519,0.017211182,-0.031995133,-0.03417753
-0.03095727,0.03878735,-0.051912736,0.054181587,-0.065113336,0.065743424,-0.06628271,0.056973472,0.051641915,0.010645165,0.008428281,0.012142459,0.029305523,0.025134038,-0.031223608,-0.032280773
-0.03191269,0.03969501,-0.05300537,0.0546214,-0.06523211,0.06449047,-0.064129815,0.05294656,0.046930738,0.01461675,0.00949083,0.019282589,0.02662493,0.033428095,-0.029728781,-0.03177117
-0.032163963,0.039873865,-0.053132582,0.05436758,-0.06453402,0.06278953,-0.061162606,0.0475387,0.037154738,0.017716374,0.008677828,0.0261214,0.02099073,0.043428168,-0.025868017,-0.019926762
-0.03321702,0.04079833,-0.05415614,0.05449357,-0.063938744,0.06019392,-0.056744263,0.039740577,0.02533137,0.023118831,0.0094878655,0.036967654,0.013157336,0.056819186,-0.019495947,-0.010409983
-0.033514656,0.041032214,-0.05439478,0.054380607,-0.06347268,0.058913983,-0.054530565,0.0359012,0.018854406,0.02512427,0.009406449,0.041463315,0.008944889,0.062705964,-0.015988464,-0.0035462636
-0.03402007,0.04145998,-0.054839958,0.054339714,-0.063018575,0.057412103,-0.05203263,0.03171038,0.012312782,0.027397767,0.009881755,0.046395224,0.0041845064,0.068456076,-0.011559482,0.0019397895
-0.034768093,0.042112026,-0.05555925,0.05443047,-0.06266854,0.055833463,-0.04951146,0.027592795,0.0065854657,0.029661657,0.0110863745,0.05122153,-0.0008949983,0.07310752,-0.0063135945,0.0048190635
-0.035490856,0.04272233,-0.056213066,0.05441711,-0.062166434,0.054001644,-0.0466627,0.022991752,4.8537266e-05,0.03174558,0.012233547,0.05585353,-0.0067154896,0.077453375,-0.00022560068,0.008844814
-0.035835683,0.042994957,-0.056480087,0.05430712,-0.061736822,0.052836746,-0.044845633,0.020066313,-0.004398006,0.032723743,0.01256617,0.058158528,-0.0103855515,0.07951255,0.0036149432,0.012517502
-0.036596965,0.043662842,-0.057194244,0.054378476,-0.061324075,0.051255524,-0.04252589,0.01661629,-0.008594753,0.033889003,0.014197201,0.06095785,-0.015389002,0.08115712,0.00940634,0.013262814
-0.03696047,0.043941244,-0.057472978,0.05430205,-0.060937572,0.05017707,-0.040896587,0.014192498,-0.01207097,0.03430328,0.014724675,0.062269807,-0.01875517,0.08175394,0.013198863,0.015510401
-0.036863707,0.043808598,-0.05725502,0.05402474,-0.060478758,0.049482454,-0.039703052,0.012301616,-0.015593132,0.03432024,0.013903877,0.06285522,-0.020601355,0.082272075,0.014689893,0.02029733
-0.03717765,0.044022713,-0.057409674,0.053753912,-0.059828788,0.048037983,-0.037507582,0.009046534,-0.020476894,0.034290854,0.014067668,0.063565396,-0.024787487,0.08172774,0.01926052,0.024540123
-0.03763647,0.044314075,-0.057595283,0.053298134,-0.05875185,0.045777246,-0.034152336,0.00420114,-0.027596558,0.033901166,0.014131599,0.063962564,-0.030906329,0.080044776,0.025956344,0.03067079
-0.038141396,0.04467545,-0.0578891,0.052982423,-0.057872117,0.04386188,-0.031401206,0.00036518933,-0.032807745,0.033267286,0.01452236,0.06360413,-0.03614874,0.07766097,0.031947207,0.0342858
-0.039315786,0.0456105,-0.058811437,0.052793007,-0.056861207,0.04113054,-0.027852194,-0.004056693,-0.037316382,0.031630777,0.016789895,0.0622397,-0.043624163,0.072835505,0.041663997,0.03398049
-0.03974799,0.045870073,-0.05891349,0.052231826,-0.055579323,0.038685992,-0.024328474,-0.008800077,-0.043818094,0.029992122,0.016402885,0.060454972,-0.049226116,0.06828612,0.04772742,0.039522108
-0.03976838,0.045778662,-0.05866506,0.05168775,-0.05457973,0.037043046,-0.021862501,-0.012244907,-0.048990928,0.02893755,0.015231687,0.05908959,-0.05217183,0.06511743,0.05022013,0.045086198
-0.039790276,0.04567595,-0.05840184,0.051117197,-0.05357115,0.0353732,-0.019340167,-0.015691996,-0.054112665,0.027612599,0.013983695,0.057231948,-0.05490888,0.061092142,0.052421365,0.05050759
-0.03959496,0.045392524,-0.057963952,0.050556753,-0.052684586,0.034132373,-0.01735564,-0.018520353,-0.0584691,0.02681952,0.012330487,0.055811398,-0.056290556,0.058056958,0.05276006,0.055664245
