0,1,2,3,4,5,6,7,8,9,10,11,12
0.14030892,0.14854299,-0.12840097,-0.1503178,0.119967185,-0.18687358,0.10216162,0.1645606,-0.054672826,0.1554669,-0.09276276,0.12053661,-0.07173237
0.14058897,0.14630355,-0.13070488,-0.14300287,0.12398035,-0.16808914,0.109435864,0.1396581,-0.07034577,0.13356115,-0.10153084,0.09970146,-0.08163245
0.14078334,0.14328513,-0.13222075,-0.13266373,0.12600113,-0.14086117,0.11333632,0.10058371,-0.08558902,0.09178038,-0.101845615,0.05429291,-0.085379764
0.14062825,0.1412773,-0.13095912,-0.12570748,0.12108299,-0.12134754,0.10560183,0.07296283,-0.081569165,0.05694653,-0.08143701,0.016457215,-0.06412756
0.14036909,0.13833052,-0.12889148,-0.11529247,0.114006065,-0.09371628,0.0936704,0.033369523,-0.07434951,0.0068699447,-0.050416175,-0.03707473,-0.032691125
0.13976467,0.13385728,-0.12409317,-0.09957492,0.100254215,-0.05464915,0.06981258,-0.020054793,-0.053390134,-0.060465623,0.003381438,-0.10313259,0.022219775
0.13904274,0.12989838,-0.118345305,-0.0860623,0.08451177,-0.022940533,0.043408602,-0.059664223,-0.025677588,-0.10806931,0.05376351,-0.13984887,0.07134961
0.13829212,0.12659873,-0.11226322,-0.075295895,0.0684721,-0.00015330358,0.018139523,-0.08259631,0.002781124,-0.13106148,0.09075337,-0.14463247,0.103824444
0.13717106,0.122133926,-0.103184745,-0.06123542,0.04611435,0.026633646,-0.016257668,-0.103792116,0.04176706,-0.1449925,0.12856378,-0.12645647,0.12971555
0.1357609,0.11660596,-0.092061825,-0.044411864,0.020349607,0.055145312,-0.05292661,-0.119749404,0.079973266,-0.14448018,0.15000935,-0.0869906,0.13095419
0.13427451,0.110855155,-0.08056015,-0.027600434,-0.004749185,0.0803154,-0.08536364,-0.12790741,0.10990388,-0.1306571,0.15128298,-0.03741843,0.10857716
0.13259944,0.104494534,-0.06809476,-0.009906404,-0.03000518,0.10257968,-0.11312605,-0.12719947,0.12936218,-0.102580965,0.12997223,0.018626554,0.064146146
0.13113654,0.09898624,-0.057519585,0.0046467367,-0.049919605,0.117530115,-0.1308466,-0.12050313,0.13624747,-0.072318554,0.0991045,0.061884873,0.018582951
